Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
-26.986425,27.575295,1483,959.026,-1
-26.985687,27.575672,1482,959.116,0
-26.98495,27.57605,1482,959.206,0
-26.98478,27.57613,1482,959.227,0
-26.984125,27.576465,1482,959.307,-1
-26.98347,27.5768,1481,959.387,0
-26.982815,27.577135,1481,959.467,-1
-26.98216,27.57747,1480,959.547,0
-26.981352,27.577884,1480,959.646,0
-26.980544,27.578298,1480,959.745,-2
-26.979736,27.578712,1478,959.844,0
-26.978928,27.579126,1478,959.943,-1
-26.97812,27.57954,1477,960.042,-1
-26.97734,27.57994,1476,960.137,1
-26.97656,27.58034,1477,960.232,1
-26.97578,27.58074,1478,960.328,0
-26.97562,27.58082,1477,960.347,0
-26.974897,27.581193,1477,960.436,-1
-26.974173,27.581567,1476,960.525,-1
-26.97345,27.58194,1475,960.613,-1
-26.97281,27.582267,1474,960.692,0
-26.97217,27.582593,1474,960.77,0
-26.97153,27.58292,1474,960.848,-1
-26.97085,27.58326,1473,960.931,0
-26.97022,27.58358,1473,961.008,-1
-26.969467,27.583966,1472,961.1,-1
-26.968714,27.584352,1471,961.192,-1
-26.967961,27.584738,1470,961.284,-1
-26.967208,27.585124,1469,961.377,-1
-26.966455,27.58551,1468,961.469,0
-26.965702,27.585896,1468,961.561,-2
-26.964949,27.586282,1466,961.653,0
-26.964196,27.586668,1466,961.745,-2
-26.963443,27.587054,1464,961.837,1
-26.96269,27.58744,1465,961.93,1
-26.96254,27.58753,1465,961.949,-4
-26.96209,27.58777,1463,962.004,-3
-26.96196,27.58784,1463,962.02,-2
-26.9618,27.58794,1463,962.04,-1
-26.96176,27.58796,1463,962.045,-2
-26.96132,27.58818,1462,962.099,-2
-26.960835,27.58843,1461,962.158,-2
-26.96035,27.58868,1460,962.218,-1
-26.96018,27.58876,1460,962.238,-1
-26.959527,27.589093,1459,962.318,-1
-26.958873,27.589427,1458,962.398,-3
-26.95822,27.58976,1456,962.478,2
-26.95777,27.58999,1457,962.533,2
-26.95772,27.59001,1457,962.539,4
-26.95695,27.59041,1461,962.633,0
-26.956275,27.59075,1461,962.716,0
-26.9556,27.59109,1461,962.798,0
-26.95543,27.59117,1461,962.819,0
-26.954985,27.5914,1461,962.873,0
-26.95454,27.59163,1461,962.928,1
-26.9538,27.592007,1462,963.018,-1
-26.95306,27.592383,1461,963.109,0
-26.95232,27.59276,1461,963.199,0
-26.95191,27.59296,1461,963.249,3
-26.95112,27.593367,1464,963.346,3
-26.95033,27.593773,1467,963.442,0
-26.94954,27.59418,1467,963.539,0
-26.94899,27.59445,1467,963.606,1
-26.9483,27.594807,1468,963.691,2
-26.94761,27.595163,1470,963.775,1
-26.94692,27.59552,1471,963.86,1
-26.94675,27.5956,1471,963.88,0
-26.94613,27.59592,1471,963.956,0
-26.945383,27.5963,1471,964.047,1
-26.944637,27.59668,1472,964.139,2
-26.94389,27.59706,1474,964.23,0
-26.94332,27.59735,1474,964.3,0
-26.942627,27.597707,1474,964.385,1
-26.941933,27.598063,1475,964.469,1
-26.94124,27.59842,1476,964.554,0
-26.940625,27.59873,1476,964.629,0
-26.94001,27.59904,1476,964.705,0
-26.939395,27.59935,1476,964.78,-1
-26.93878,27.59966,1475,964.855,1
